date,record_max_temp
2014-7-1,102
2014-7-2,104
2014-7-3,100
2014-7-4,101
2014-7-5,102
2014-7-6,101
2014-7-7,100
2014-7-8,104
2014-7-9,102
2014-7-10,101
2014-7-11,103
2014-7-12,104
2014-7-13,102
2014-7-14,103
2014-7-15,103
2014-7-16,104
2014-7-17,104
2014-7-18,102
2014-7-19,102
2014-7-20,102
2014-7-21,101
2014-7-22,101
2014-7-23,101
2014-7-24,101
2014-7-25,102
2014-7-26,105
2014-7-27,101
2014-7-28,103
2014-7-29,101
2014-7-30,102
2014-7-31,103
2014-8-1,103
2014-8-2,104
2014-8-3,103
2014-8-4,102
2014-8-5,103
2014-8-6,101
2014-8-7,104
2014-8-8,104
2014-8-9,106
2014-8-10,104
2014-8-11,102
2014-8-12,105
2014-8-13,104
2014-8-14,102
2014-8-15,101
2014-8-16,102
2014-8-17,104
2014-8-18,108
2014-8-19,107
2014-8-20,107
2014-8-21,106
2014-8-22,106
2014-8-23,107
2014-8-24,105
2014-8-25,103
2014-8-26,104
2014-8-27,109
2014-8-28,107
2014-8-29,107
2014-8-30,104
2014-8-31,107
2014-9-1,107
2014-9-2,104
2014-9-3,105
2014-9-4,109
2014-9-5,108
2014-9-6,99
2014-9-7,98
2014-9-8,100
2014-9-9,100
2014-9-10,99
2014-9-11,99
2014-9-12,101
2014-9-13,102
2014-9-14,100
2014-9-15,98
2014-9-16,98
2014-9-17,100
2014-9-18,99
2014-9-19,97
2014-9-20,99
2014-9-21,100
2014-9-22,100
2014-9-23,96
2014-9-24,95
2014-9-25,99
2014-9-26,99
2014-9-27,100
2014-9-28,98
2014-9-29,96
2014-9-30,95
2014-10-1,99
2014-10-2,97
2014-10-3,95
2014-10-4,95
2014-10-5,94
2014-10-6,94
2014-10-7,95
2014-10-8,96
2014-10-9,93
2014-10-10,95
2014-10-11,94
2014-10-12,96
2014-10-13,94
2014-10-14,92
2014-10-15,92
2014-10-16,92
2014-10-17,93
2014-10-18,96
2014-10-19,94
2014-10-20,93
